film_id,nat_title,film_genre
GB2022_063,Tomorrow Morning,MUS
GB2022_063,Tomorrow Morning,ROM
GB2022_064,Battle of Amritsar,DPA
GB2022_064,Battle of Amritsar,DEX
GB2022_064,Battle of Amritsar,HIS
GB2022_065,A Banquet,HOR
GB2022_066,Tosh,SPO
GB2022_066,Tosh,DPA
GB2022_067,Mambo Man,DRA
GB2022_067,Mambo Man,MUS
GB2022_067,Mambo Man,THR
GB2022_068,The Lost Girls,FAN
GB2022_068,The Lost Girls,DRA
GB2022_068,The Lost Girls,ADV
GB2022_068,The Lost Girls,COA
GB2022_069,Donna,DPA
GB2022_069,Donna,DOB
GB2022_070,A Bird Flew In,DRA
GB2022_070,A Bird Flew In,MET
GB2022_071,Lady Chatterley's Lover,DRA
GB2022_071,Lady Chatterley's Lover,ROM
GB2022_071,Lady Chatterley's Lover,HIS
GB2022_072,The Creeping,HOR
GB2022_073,Poison Arrows,COM
GB2022_073,Poison Arrows,MOC
GB2022_073,Poison Arrows,MET
GB2022_074,Hounded,ACT
GB2022_074,Hounded,HOR
GB2022_074,Hounded,THR
GB2022_075,Belfast,DRA
GB2022_075,Belfast,HIS
GB2022_075,Belfast,COM
GB2022_076,The Duke,COM
GB2022_076,The Duke,BIO
GB2022_076,The Duke,DRA
GB2022_076,The Duke,HEI
GB2022_076,The Duke,COU
GB2022_076,The Duke,HIS
GB2022_077,The Fire Within: A Requiem for Katia and Maurice Krafft,DPE
ES2023_001,Mummies,CHI
ES2023_001,Mummies,FAN
ES2023_002,Campeonex,COM
ES2023_002,Campeonex,SPO
ES2023_003,Ocho apellidos marroquís,COM
ES2023_003,Ocho apellidos marroquís,ROM
ES2023_004,Vacaciones de verano,COM
ES2023_004,Vacaciones de verano,CHI
ES2023_005,¡Vaya vacaciones!,COM
ES2023_005,¡Vaya vacaciones!,CHI
ES2023_006,La Navidad en sus manos,COM
ES2023_006,La Navidad en sus manos,CHI
ES2023_006,La Navidad en sus manos,FAN
ES2023_007,El hotel de los líos. García y García 2,COM
ES2023_007,El hotel de los líos. García y García 2,CHI
ES2023_008,Como Dios manda,COM
ES2023_009,La niña de la comunión,HOR
ES2023_010,Mi soledad tiene alas,DRA
ES2023_010,Mi soledad tiene alas,CRI
ES2023_010,Mi soledad tiene alas,COA
ES2023_011,El mestre que va prometre el mar,DRA
ES2023_011,El mestre que va prometre el mar,HIS
ES2023_012,20.000 especies de abejas,DRA
ES2023_012,20.000 especies de abejas,COA
ES2023_013,Alimañas,COM
ES2023_013,Alimañas,DRA
ES2023_013,Alimañas,THR
ES2023_014,Todos los nombres de Dios,THR
ES2023_015,Me he hecho viral,COM
ES2023_016,Saben aquell,BIO
ES2023_016,Saben aquell,DRA
ES2023_017,Cerrar los ojos,DRA
ES2023_017,Cerrar los ojos,MET
ES2023_017,Cerrar los ojos,NOI
ES2023_018,El favor,COM
ES2023_019,Mi otro Jon,DRA
ES2023_019,Mi otro Jon,COM
ES2023_019,Mi otro Jon,SCI
ES2023_020,Te estoy amando locamente,COM
ES2023_020,Te estoy amando locamente,ROM
ES2023_020,Te estoy amando locamente,HIS
ES2023_020,Te estoy amando locamente,MUS
ES2023_021,O corno,DRA
ES2023_021,O corno,ROA
