person_id,person_name,person_nat
,Benedetto Casillo,IT
,Benedicta Sánchez,ES
,Benedict Campbell,CA
,Benedikt Schwarzer,DE
,Ben Gazzara,US
,Ben Hecking,GB
,Beniamino Barrese,IT
,Benito Urgu,IT
,Ben Jacobson,GB
,Benjamin Cabuk,TR
,Benjamin Euvrard,FR
,Benjamin Field,GB
,Benjamin Laurent,FR
,Benjamin Martins,DE
,Benjamin Massoubre,FR
,Benjamín Prado,ES
,Benjamin Quabeck,DE
,Benjamin Whitrow,GB
,Ben Kingsley,US
,Ben Miller,GB
,Ben Nealon,GB
,Bennie Young,GB
,Benoît Allemane,FR
,Benoît Chieux,FR
,Benoît Delépine,FR
,Benoît Forgeard,FR
,Benoît Jacquot,FR
,Benoît Masocco,FR
,Benoît Poelvoorde,BE
,Ben Parker,GB
,Bent Hamer,NO
,Ben Timlett,GB
,Ben Wheatley,GB
,Beo Raana Zafar,PK
,Beppe Menegatti,IT
,Bérangère Jean,FR
,Berardo Carboni,IT
,Berenice Sparano,IT
,Bernabé Rico,ES
,Bernadette Lafont,FR
,Bernadette Le Saché,FR
,Bernadette Mayer,US
,Bernadett Tuza-Ritter,HU
,Bernard Alane,FR
,Bernard Bédarida,FR
,Bernard Blancan,FR
,Bernard Bloch,FR
,Bernard Campan,FR
,Bernard Farcy,FR
,Bernard Fresson,FR
,Bernard Gabay,FR
,Bernard Giraudeau,FR
,Bernard Guyonnet,FR
,Bernard-Henri Lévy,FR
,Bernard Le Coq,FR
,Bernard Ménez,FR
,Bernard Murat,FR
,Bernard Nissille,CH
,Bernardo Atxaga,ES
,Bernardo Hiller,AR
,Bernard-Pierre Donnadieu,FR
,Bernard Stora,FR
,Bernard Verley,FR
,Bernard Yerlès,BE
,Bernd Böhlich,DE
,Bernd Capitain,DE
