year,award,category,name,result,yob,age,gender,film,film_id,character_id,person_id
2021,EFA,BD,Radu Jude,N,1977,44,M,Bad Luck Banging or Loony Porn,RO2021_001,,
2021,EFA,BD,Florian Zeller,N,1979,42,M,The Father,GB2021_005,,
2021,EFA,BD,Paolo Sorrentino,N,1970,51,M,The Hand of God,IT2021_056,,
2021,EFA,BD,Julia Ducournau,N,1983,38,F,Titane,FR2021_036,,
2021,EFA,BAM,Anthony Hopkins,A,1937,84,M,The Father,GB2021_005,GB2021_005_01,
2021,EFA,BAM,Vincent Lindon,N,1959,62,M,Titane,FR2021_036,FR2021_036_01,
2020,EFA,BD,François Ozon,N,1967,53,M,Summer of 85,FR2020_045,,
2024,CDC,BAM,Benjamin Lavernhe,N,1984,40,M,L'Abbé Pierre : Une vie de combats,FR2023_194,FR2023_194_01,
2024,CDC,BAFE,Sandra Hüller,A,1978,46,F,Anatomie d'une chute,FR2023_155,,
2024,CDC,BSAF,Miou-Miou,N,1950,74,F,Je verrai toujours vos visages,FR2023_073,,
2024,CDC,BD,Justine Triet,A,1978,46,F,Anatomie d'une chute,FR2023_155,,
2024,CDC,BD,Catherine Breillat,N,1948,76,F,L'Été dernier,FR2023_162,,
2024,CDC,BD,Thomas Cailley,N,1980,44,M,Le Règne animal,FR2023_173,,
2024,CDC,BD,Jeanne Herry,N,1978,46,F,Je verrai toujours vos visages,FR2023_073,,
2024,CDC,BD,Cédric Kahn,N,1966,58,M,Le Procès Goldman,FR2023_167,,
2023,CDC,BAFE,Fanny Ardant,N,1949,74,F,Les Jeunes Amants,FR2022_021,FR2022_021_01,
2023,CDC,BAFE,Juliette Binoche,N,1964,59,F,Ouistreham,FR2022_005,FR2022_005_01,
2023,CDC,BSAM,Bouli Lanners,A,1965,58,M,La Nuit du 12,FR2022_107,,
2023,CDC,BSAM,Roschdy Zem,N,1965,58,M,L'Innocent,FR2022_143,FR2022_143_02,
2023,CDC,BSAF,Anouk Grinberg,N,1963,60,F,L'Innocent,FR2022_143,FR2022_143_01,
2023,CDC,BD,Dominik Moll,A,1962,61,M,La Nuit du 12,FR2022_107,,
2023,CDC,BD,Cédric Klapisch,N,1961,62,M,En corps,FR2022_062,,
2023,CDC,BD,Louis Garrel,N,1983,40,M,L'Innocent,FR2022_143,,
2023,CDC,BD,Cédric Jimenez,N,1976,47,M,Novembre,FR2022_140,,
2023,CDC,BD,Albert Serra,N,1975,48,M,Pacifiction : Tourment sur les Îles,ES2022_023,,
2022,CDC,BAFE,Valérie Lemercier,A,1964,58,F,Aline,FR2021_103,FR2021_103_01,
2022,CDC,BAFE,Valeria Bruni Tedeschi,N,1964,58,F,La Fracture,FR2021_095,FR2021_095_01,
2022,CDC,BSAM,Sylvain Marcel,N,1964,58,M,Aline,FR2021_103,,
2022,CDC,BSAF,Danielle Fichaud,N,1954,68,F,Aline,FR2021_103,,
2022,CDC,BD,Valérie Lemercier,N,1964,58,F,Aline,FR2021_103,,
2022,CDC,BD,Cédric Jimenez,N,1976,46,M,BAC Nord,FR2021_052,,
2022,CDC,BD,Xavier Giannoli,N,1972,50,M,Illusions perdues,FR2021_089,,
2022,CDC,BD,Arthur Harari,N,1981,41,M,"Onoda, 10 000 nuits dans la jungle",FR2021_039,,
2022,CDC,BD,Julia Ducournau,N,1983,39,F,Titane,FR2021_036,,
2021,CDC,BAM,Albert Dupontel,N,1964,57,M,Adieu les cons,FR2020_085,FR2020_086_01,
2021,CDC,BAM,Lambert Wilson,N,1958,63,M,De Gaulle,FR2020_036,FR2020_036_01,
2021,CDC,BAFE,Martine Chevallier,N,1949,72,F,Deux,FR2020_028,FR2020_028_02,
2021,CDC,BAFE,Barbara Sukowa,N,1950,71,F,Deux,FR2020_028,FR2020_028_01,
2021,CDC,BSAM,Nicolas Marié,A,1954,67,M,Adieu les cons,FR2020_085,,
2021,CDC,BSAM,Édouard Baer,N,1966,55,M,La Bonne Épouse,FR2020_039,,
2021,CDC,BSAF,Valeria Bruni Tedeschi,N,1964,57,F,Été 85,FR2020_045,,
2021,CDC,BSAF,Fanny Ardant,N,1949,72,F,ADN,FR2020_091,,
2021,CDC,BSAF,Noémie Lvovsky,N,1964,57,F,La Bonne Épouse,FR2020_039,,
2021,CDC,BSAF,Yolande Moreau,N,1953,68,F,La Bonne Épouse,FR2020_039,,
