person_id,person_name,birth_year,death_year,gender
 ,Antonio Spoletini,1937,,M
 ,Antonio Usbergo aka Younuts,1986,,M
 ,Antonio Weinrichter,,,M
,Antonio Wu,1950,,M
 ,Antonio Zavatteri,1967,,M
,Antonis Kafetzopoulos,1951,,M
 ,Antony Hickling,1975,,M
 ,Antonythasan Jesuthasan,1967,,M
,Antton Bastero,1958,,M
,Anxos Fazáns,1992,,F
 ,Arab Nasser,1988,,M
,Arabella Weir,1957,,F
,Arantxa Aguirre,1965,,F
,Arantxa Echevarría,1968,,F
,Archie Shepp,1937,,M
,Ariadna Gil,1969,,F
 ,Ariane Ascaride,1954,,F
,Arie Tcherner,1957,,M
,Ariel Rot,1960,,M
 ,Arièle Semenoff,1947,,F
 ,Ariella Reggio,1936,,F
 ,Arielle Dombasle,1953,,F
 ,Arlette Thomas,1927,,F
,Armand Assante,1949,,M
 ,Armand Éloi,1962,,M
,Armando de Razza,1955,,M
 ,Armando Ianucci,1963,,M
 ,Armando Manzanero,1935,2020,M
,Armin Rohde,1955,,M
,Arnau Puig Grau,1926,2020,M
 ,Arnaud Desplechin,1960,,M
,Arnaud Fournier Montgieux,1982,,M
 ,Arnaud Larrieu,1966,,M
 ,Arnaud Lemort,1969,,M
,Arnaud Montebourg,1962,,M
 ,Arnaud Tabarly,,,M
 ,Arnaud Viard,1965,,M
,Arndt Ginzel,1972,,M
,Arne Fuhrmann,1943,,M
,Arne Körner,,,M
,Arno Flemming,,,M
,Arno Steffen,1953,,M
 ,Arnold de Parscau,1988,,M
,Arnulf Conradi,1944,,M
,Aron Lehmann,1981,,M
,Áron Őze,1970,,M
,Árpád Bogdán,1976,,M
,Árpád Némedi,1969,,M
,Árpád Sopsits,1952,,M
 ,Arsène Jiroyan,1962,,M
 ,Arsène Wenger,1949,,M
,Arslan Kodirov,1956,,M
 ,Arthur Albiston,1957,,M
 ,Arthur Dreyfus,1986,,M
 ,Arthur H,1966,,M
 ,Arthur Harari,1981,,M
,Arthur Holden,1959,,M
,Artúr Kálid,1970,,M
,Arturo Andújar,1974,,M
,Arturo de Bobadilla,,,
 ,Arturo Dueñas Herrero,1962,,M
 ,Arturo Fernández,1929,2019,M
,Artus Maria Matthiessen,1950,,F
,Arved Birnbaum,1962,2021,M
,Asad Schwarz,1963,,M
