film_id,nat_title,character_id,person_id,ch_age,ch_gender,ch_sexuality,ch_porigin,ch_class,ch_profession,ch_ability,assisted_mobility
ES2022_096,Culpa,ES2022_096_01,Luis Hostalot,3,M,,WWE,MC,,AB,N
ES2022_097,Pijamas Espaciales,ES2022_097_01,Javivi,3,M,HE,WWE,LM,SE,AB,N
ES2022_098,Las niñas de cristal,ES2022_098_01,Ana Wagener,2,F,HE,WWE,MC,,AB,N
ES2022_098,Las niñas de cristal,ES2022_098_02,Javier Lago,3,M,HE,WWE,MC,,AB,N
ES2022_101,Frente al Silencio,ES2022_101_01,Miguelo García,2,M,,WWE,MC,SE,AB,N
ES2022_102,Una película póstuma,ES2022_102_01,Pere Ponce,3,M,HE,WWE,MC,,AB,N
ES2022_103,Vamos A Volvernos Locos,ES2022_103_01,Manuel Pizarro,3,M,HE,WWE,UM,SE,AB,N
ES2022_105,El corazón de Europa,ES2022_105_01,Juan Pinzás,3,M,HE,WWE,MC,SE,AB,N
ES2022_106,El Tirabeque,ES2022_106_01,Celso Bugallo,3,M,HE,WWE,MC,RE,AB,N
ES2022_106,El Tirabeque,ES2022_106_02,Manuel Manquiña,3,M,,WWE,UM,SE,AB,N
ES2022_106,El Tirabeque,ES2022_106_03,Kike Biguri,2,M,,WWE,MC,SE,AB,N
ES2022_109,La piel en llamas,ES2022_109_01,Fernando Tejero,2,M,HE,WWE,UM,SE,AB,N
ES2022_116,Veneciafrenia,ES2022_116_01,Enrico Lo Verso,2,M,,WWE,MC,EM,AB,N
ES2022_116,Veneciafrenia,ES2022_116_02,Cosimo Fusco,3,M,,WWE,MC,EM,AB,N
ES2022_116,Veneciafrenia,ES2022_116_03,Armando de Razza,3,M,,WWE,MC,EM,AB,N
GB2022_001,Downton Abbey: A New Era,GB2022_001_01,Hugh Bonneville,3,M,HE,WWE,UC,UN,AB,N
GB2022_001,Downton Abbey: A New Era,GB2022_001_02,Elizabeth McGovern,3,F,HE,WWE,UC,UN,AB,N
GB2022_001,Downton Abbey: A New Era,GB2022_001_03,Jim Carter,3,M,HE,WWE,LM,EM,AB,N
GB2022_001,Downton Abbey: A New Era,GB2022_001_04,Imelda Staunton,3,F,HE,WWE,UC,UN,AB,N
GB2022_001,Downton Abbey: A New Era,GB2022_001_05,Samantha Bond,3,F,HE,WWE,,,,N
GB2022_001,Downton Abbey: A New Era,GB2022_001_06,Penelope Wilton,4,F,HE,WWE,UC,UN,AB,N
GB2022_001,Downton Abbey: A New Era,GB2022_001_07,Douglas Reith,3,M,HE,WWE,UC,EM,AB,N
GB2022_001,Downton Abbey: A New Era,GB2022_001_08,Phyllis Logan,3,F,HE,WWE,LM,EM,AB,N
GB2022_001,Downton Abbey: A New Era,GB2022_001_09,Lesley Nicol,3,F,HE,WWE,LM,EM,AB,N
GB2022_001,Downton Abbey: A New Era,GB2022_001_10,Maggie Smith,4,F,HE,WWE,UC,UN,AB,Y
GB2022_002,Fantastic Beasts: The Secrets of Dumbledore,GB2022_002_01,Mads Mikkelsen,2,M,HO,WWE,UC,SE,AB,N
GB2022_003,Roald Dahl's Matilda the Musical,GB2022_003_01,Emma Thompson,3,F,,WWE,MC,EM,AB,N
GB2022_005,Operation Mincemeat,GB2022_005_01,Colin Firth,2,M,,WWE,UM,EM,AB,N
GB2022_005,Operation Mincemeat,GB2022_005_02,Penelope Wilton,4,F,,WWE,MC,EM,AB,N
GB2022_005,Operation Mincemeat,GB2022_005_03,Mark Gatiss,2,M,,WWE,UM,EM,AB,N
GB2022_005,Operation Mincemeat,GB2022_005_04,Simon Russell Beale,3,M,,WWE,UC,EM,AB,N
GB2022_005,Operation Mincemeat,GB2022_005_05,Jason Isaacs,2,M,,WWE,UM,EM,AB,N
GB2022_006,Mrs. Harris Goes to Paris,GB2022_006_01,Lesley Manville,3,F,HE,WWE,LM,EM,AB,N
GB2022_006,Mrs. Harris Goes to Paris,GB2022_006_02,Isabelle Huppert,2,F,,WWE,UM,EM,AB,N
GB2022_006,Mrs. Harris Goes to Paris,GB2022_006_03,Lambert Wilson,2,M,,WWE,UC,EM,AB,N
GB2022_006,Mrs. Harris Goes to Paris,GB2022_006_04,Jason Isaacs,2,M,,WWE,UM,,AB,N
GB2022_006,Mrs. Harris Goes to Paris,GB2022_006_05,Anna Chancellor,2,F,,WWE,UC,,AB,N
GB2022_007,"Good Luck to You, Leo Grande",GB2022_007_01,Emma Thompson,3,F,HE,WWE,MC,RE,AB,N
GB2022_008,Living,GB2022_008_01,Bill Nighy,3,M,HE,WWE,MC,EM,CI,N
GB2022_009,Fisherman's Friends: One and All,GB2022_009_01,James Purefoy,3,M,HE,WWE,UM,EM,AB,N
GB2022_009,Fisherman's Friends: One and All,GB2022_009_02,Dave Johns,3,M,HE,WWE,UM,EM,AB,N
GB2022_009,Fisherman's Friends: One and All,GB2022_009_03,Maggie Steed,3,F,HE,WWE,MC,SE,AB,N
GB2022_009,Fisherman's Friends: One and All,GB2022_009_04,David Hayman,3,M,HE,WWE,UM,EM,AB,N
GB2022_010,Emily,GB2022_010_01,Adrian Dunbar,3,M,HE,WWE,MC,SE,AB,N
GB2022_010,Emily,GB2022_010_02,Gemma Jones,4,F,,WWE,MC,,AB,N
GB2022_011,The Railway Children Return,GB2022_011_01,Tom Courtenay,4,M,,WWE,MC,RE,AB,N
GB2022_011,The Railway Children Return,GB2022_011_02,Jenny Agutter,3,F,HE,WWE,MC,UN,AB,N
GB2022_012,The Lost King,GB2022_012_01,Steve Coogan,2,M,HE,WWE,MC,EM,AB,N
GB2022_012,The Lost King,GB2022_012_02,Julian Firth,3,M,,WWE,UM,EM,AB,N
GB2022_012,The Lost King,GB2022_012_03,James Fleet,3,M,,WWE,UM,EM,AB,N
GB2022_013,Fall,GB2022_013_01,Jeffrey Dean Morgan,2,M,HE,WWE,MC,,AB,N
GB2022_014,The Phantom of the Open,GB2022_014_01,Mark Rylance,1,M,HE,WWE,MC,EM,AB,N
GB2022_014,The Phantom of the Open,GB2022_014_02,Rhys Ifans,2,M,HE,WWE,UM,EM,AB,N
GB2022_015,The Nan Movie,GB2022_015_01,Catherine Tate,3,F,HE,WWE,MC,RE,AB,N
GB2022_016,The Forgiven,GB2022_016_01,Ralph Fiennes,2,M,HE,WWE,UM,EM,AB,N
GB2022_016,The Forgiven,GB2022_016_02,Ismael Kanater,3,M,HE,NAF,UM,SE,AB,N
GB2022_017,The Estate,GB2022_017_01,David Duchovny,2,M,HE,WNA,MC,,AB,N
GB2022_017,The Estate,GB2022_017_02,Kathleen Turner,3,F,HE,WNA,UM,RE,CI,Y
GB2022_017,The Estate,GB2022_017_03,Ron Livingstone,2,M,HE,WNA,MC,EM,AB,N
GB2022_017,The Estate,GB2022_017_04,Danny Vinson,3,M,,WNA,,,,N
GB2022_017,The Estate,GB2022_017_05,Patricia French,3,F,HE,WNA,LM,RE,AB,N
GB2022_020,Benediction,GB2022_020_01,Geraldine James,3,F,HE,WWE,UC,UN,AB,N
GB2022_020,Benediction,GB2022_020_02,Simon Russell Beale,3,M,HE,WWE,UC,UN,AB,N
GB2022_020,Benediction,GB2022_020_03,Peter Capaldi,3,M,HO,WWE,UM,RE,AB,N
GB2022_021,The Souvenir: Part II,GB2022_021_01,Tilda Swinton,3,F,HE,WWE,UC,UN,AB,N
GB2022_026,True Things,GB2022_026_01,Elizabeth Rider,3,F,HE,WWE,MC,,AB,N
