film_id,nat_title,film_genre,,,,,,,,,,,,,,,,,,,,,,,
FR2022_038,Ils sont vivants,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_039,Maigret,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_040,Selon la police,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_041,Zaï Zaï Zaï Zaï,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_042,Down in Paris,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_043,Robuste,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_044,Viens je t'emmène,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_045,À demain mon amour,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_046,Goliath,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_047,La Campagne de France,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_048,Ma nuit,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_049,Murder Party,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_050,Permis de construire,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_051,À plein temps,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_052,Alors on danse,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_053,Entre les vagues,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_054,Funambules,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_055,Notre-Dame brûle,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_056,Trois fois rien,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_057,Bruno Reidal,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_058,De nos frères blessés,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_059,La Brigade,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_060,Le Temps des secrets,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_061,Seule la Terre est éternelle,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_062,Une mère,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_063,En corps,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_064,Le Monde d'hier,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_065,À la folie,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_066,En même temps,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_067,Mon héroïne,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_068,Qu'est-ce qu'on a tous fait au bon Dieu?,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_069,À l'ombre des filles,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_070,Les Gagnants,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_071,Vortex,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_072,Et j'aime à la fureur,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_073,I Comete,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_074,L'Hypothèse démocratique - une histoire basque,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_075,Le Monde après nous,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_076,Les Sans-dents,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_077,Années 20,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_078,Le Médecin imaginaire,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_079,Sentinelle sud,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_080,Les Passagers de la nuit,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_081,Ténor,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_082,Cœurs vaillants,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_083,Les Folies Fermières,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_084,On sourit pour la photo,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_085,Tom,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_086,J'adore ce que vous faites,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_087,La Fabrique des pandémies,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_088,Van Gogh in Love,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_089,Frère et soeur,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_090,Don Juan,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_091,Ça tourne à Saint-Pierre et Miquelon,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_092,C'est magnifique!,,,,,,,,,,,,,,,,,,,,,,,,
FR2022_093,"Roland Gori, une époque sans esprit",,,,,,,,,,,,,,,,,,,,,,,,
FR2022_094,Champagne !,,,,,,,,,,,,,,,,,,,,,,,,
