film_id,nat_title,eng_title,director,release_type,release_date,film_type,Close viewing?,,,,,,,,,,,,,,,,,,
FR2022_020,H6,H6,Ye Ye,THE,02/02/2022,D,,,,,,,,,,,,,,,,,,,
FR2022_021,Les Jeunes Amants,The Young Lovers,Carine Tardieu,THE,02/02/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_022,Les voisins de mes voisins sont mes voisins,The Neighbours of My Neighbours Are Neighbours of Mine,"Anne-Laure Daffis, Léo Marchand",THE,02/02/2022,A,,,,,,,,,,,,,,,,,,,
FR2022_023,Super-héros malgré lui,Superwho?,Philippe Lacheau,THE,02/02/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_024,Enquête sur un scandale d'État,Undercover,Thierry de Peretti,THE,09/02/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_025,Golda Maria,Golda Maria,"Patrick Sobelman, Hugo Sobelman",THE,09/02/2022,D,,,,,,,,,,,,,,,,,,,
FR2022_026,L'Horizon,The Horizon,Emilie Carpentier,THE,09/02/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_027,PS : La diPSarition?,,Jean-Pierre Pozzi,THE,09/02/2022,D,,,,,,,,,,,,,,,,,,,
FR2022_028,Les Vedettes,The Wannabes,Jonathan Barré,THE,09/02/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_029,Vous ne désirez que moi,I Want to Talk About Duras,Claire Simon,THE,09/02/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_030,After Blue (Paradis sale),After Blue (Paradis Sale),Bertrand Mandico,THE,16/02/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_031,King,King,David Moreau,THE,16/02/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_032,La Vraie Famille,The Family,Fabien Gorgeart,THE,16/02/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_033,Maison de retraite,Retirement Home,Thomas Gilou,THE,16/02/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_034,Nous,We,Alice Diop,THE,16/02/2022,D,,,,,,,,,,,,,,,,,,,
FR2022_035,Un autre monde,Another World,Stéphane Brizé,THE,16/02/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_036,Compagnons,Companions,François Favrat,THE,23/02/2022,F,,,,,,,,,,,,,,,,,,,
