person_id,person_name,person_nat,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Monnier,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Morin,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Philibert,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Vadim,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christine Boisson,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christophe Barratier,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christophe Duthuron,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christophe Honoré,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christophe Lambert,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christophe Lambert,US,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christophe Malavoy,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christophe Offenstein,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christophe Tardy,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christopher Lee,GB,,,,,,,,,,,,,,,,,,,,,,,
TBD,Christopher Thompson,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Claire Denis,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Claire Maurier,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Claire Nadeau,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Claire Simon,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Aufaure,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Brasseur,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Brosset,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Gensac,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Lelouch,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Miller,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Perron,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Rich,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Sarraute,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Saussereau,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Zidi Jr.,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Claudia Cardinale,IT,,,,,,,,,,,,,,,,,,,,,,,
TBD,Claus Drexel,DE,,,,,,,,,,,,,,,,,,,,,,,
TBD,Clotilde Courau,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Clovis Cornillac,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Clémence Madeleine-Perdrillat,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Clémence Massart,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Clémentine Célarié,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Constance Meyer,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Corentin Doucet,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Corentin Massiot,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Corinne Marchand,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Corinne Masiero,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Cécile Ducrocq,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Cédric Jimenez,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Cédric Kahn,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Cédric Klapisch,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Céline Devaux,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Damien Manivel,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Daniel Auteuil,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Daniel Ceccaldi,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Daniel Duval,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Daniel Emilfork,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Daniel Emilfork,CL,,,,,,,,,,,,,,,,,,,,,,,
TBD,Daniel Martin,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Daniel Mesguich,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Daniel Pommereulle,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Daniel Prévost,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Danielle Arbid,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Danielle Darrieux,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Danielle Fichaud,CA,,,,,,,,,,,,,,,,,,,,,,,
TBD,Danièle Lebrun,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Danièle Évenou,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dany Boon,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dario Argento,IT,,,,,,,,,,,,,,,,,,,,,,,
TBD,Darry Cowl,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dave,NL,,,,,,,,,,,,,,,,,,,,,,,
TBD,David Ernaux-Briot,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,David Foenkinos,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,David Mambouch,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,David Moreau,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,David Strathairn,US,,,,,,,,,,,,,,,,,,,,,,,
TBD,David Teboul,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Denis Imbert,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Denis Lavant,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Denis Podalydès,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Denise Chalem,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Diastème,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dick Rivers,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Didier Barcelo,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Didier Bezace,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Didier Bourdon,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Didier Bénureau,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Didier D. Daarwin,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Didier Flamand,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Didier Sandre,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dieudo Hamadi,CO,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dominik Moll,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Abel,BE,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Baumard,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Besnehard,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Blanc,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Frot,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Labourier,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Lavanant,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Paturel,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Pinon,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Reymond,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Rozan,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Sanda,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Valadié,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dominique Zardi,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Dora Doll,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Eddy Mitchell,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Elia Suleiman,IL,,,,,,,,,,,,,,,,,,,,,,,
TBD,Elina Löwensohn,RO,,,,,,,,,,,,,,,,,,,,,,,
TBD,Ellen Barkin,US,,,,,,,,,,,,,,,,,,,,,,,
TBD,Elsa Wolliaston,JM,,,,,,,,,,,,,,,,,,,,,,,
TBD,Elsa Zylberstein,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Emanuèle Bernheim,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Emilio Belmonte,ES,,,,,,,,,,,,,,,,,,,,,,,
TBD,Emily Atef,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Emily Atef,DE,,,,,,,,,,,,,,,,,,,,,,,
TBD,Emily Atef,IR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Emir Kusturica,RS,,,,,,,,,,,,,,,,,,,,,,,
TBD,Emma Benestan,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Emmanuel Carrère,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Emmanuel Courcol,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Emmanuel Poulain-Arnaud,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Emmanuel Salinger,FR,,,,,,,,,,,,,,,,,,,,,,,
