film_id,nat_title,character_id,person_id,ch_age,ch_gender,ch_sexuality,ch_porigin,ch_class,ch_profession,ch_ability,,,,,,,,,,,,,,,
RO2021_007,,RO2021_007_01,Mircea Andreescu,3,M,HE,WEE,LM,RE,AB,,,,,,,,,,,,,,,
RO2021_007,,RO2021_007_02,Valer Dellakeza,3,M,HE,WEE,LM,RE,PD,,,,,,,,,,,,,,,
RO2021_016,,RO2021_016_01,Adrian Titieni,2 or 3,M,HE,WEE,UM,RE,AB,,,,,,,,,,,,,,,
RO2021_017,,RO2021_017_01,Costel Cașcaval ,2,M,HE,WEE,LM,EM,AB,,,,,,,,,,,,,,,
RO2022_003,,RO2022_003_01,Maia Morgenstern,2,F,HE,WEE,LC,SE,AB,,,,,,,,,,,,,,,
RO2022_003,,RO2022_003_02,Marius Bodochi,2,M,HE,WEE,LC, ,AB,,,,,,,,,,,,,,,
RO2022_011,,RO2022_011_01,Răzvan Vasilescu,3,M,HE,WEE,LM,RE,AB,,,,,,,,,,,,,,,
RO2022_013,,RO2022_013_01,Gabriel Spahiu,2,M,HE,WEE,LM, ,AB,,,,,,,,,,,,,,,
RO2022_014,,RO2022_014_01,Constantin Cotimanis,3,M,HE,WEE,UC,SE,AB,,,,,,,,,,,,,,,
DE2021_001,Weissbier im Blut,DE2021_001_01,Sigi Zimmerschied ,3,M,HE,WEE,LM,EM,AB,,,,,,,,,,,,,,,
DE2021_002,Die Vergesslichkeit der Eichhörnchen,DE2021_001_02,Günther Maria Halmer,4,M,HE,WEE,UM,RE,TD,,,,,,,,,,,,,,,
DE2021_003,Home,DE2021_001_03,Kathy Bates, , , , , , , ,,,,,,,,,,,,,,,
DE2021_004,Herr Bachmann und seine Klasse ,DE2021_001_04,Dieter Bachmann ,3,M, ,WEE,LM,EM,AB,,,,,,,,,,,,,,,
DE2021_005,Töchter,DE2021_001_05,Josef Bierbichler,3,M,HE,WEE,MC, ,TD,,,,,,,,,,,,,,,
DE2021_006,Walchensee Forever,DE2021_001_06,TBD, , , , , , , ,,,,,,,,,,,,,,,
DE2021_007,Sommer-Rebellen,DE2021_001_07,Pavel Nový,3,M,HE,WEE,MC,UN,TD,,,,,,,,,,,,,,,
DE2021_008,Mein Sohn ,DE2021_001_08,Anke Engelke ,3,F,HE,WEE,MC,EM,AB,,,,,,,,,,,,,,,
DE2021_009,Das schwarze Quadrat,DE2021_001_09,Bernhard Schütz,3,M, ,WEE,UM,EM,AB,,,,,,,,,,,,,,,
DE2021_010,Szenen meiner Ehe,DE2021_001_10,Katrin Schlösser,2,F,HE,WEE,MC,EM,AB,,,,,,,,,,,,,,,
DE2021_011,Kids Run,DE2021_001_11,Mark Zak ,,M,,,,,,,,,,,,,,,,,,,,
DE2021_012,Stillstehen,DE2021_001_12,Martin Wuttke,,M,,,,,,,,,,,,,,,,,,,,
DE2021_013,Stowaway,DE2021_001_13,Dan Berry,,M,,,,,,,,,,,,,,,,,,,,
DE2021_014,Catweazle,DE2021_001_14,Otto Waalkes,3,,,,,,AB,,,,,,,,,,,,,,,
DE2021_015,Ich bin dein Mensch,DE2021_001_15,Wolfgang Hübsch,,M,,,,,,,,,,,,,,,,,,,,
DE2021_016,Shorty und das Geheimnis des Zauberriffs,DE2021_001_16,Veronika Feres ,,,,,,,,,,,,,,,,,,,,,,
DE2021_017,Im Feuer,DE2021_001_17,Maryam Boobani,,F,,,,,,,,,,,,,,,,,,,,
DE2021_018,Nebenan,DE2021_001_18,Peter Kurth,3,M,HE,WWE,LM,UN,AB,,,,,,,,,,,,,,,
DE2021_019,Wir alle. Das Dorf,DE2021_001_19,?,,,,,,,,,,,,,,,,,,,,,,
DE2021_020,Gasmann,DE2021_001_20,Arne Körner,,M,,,,,,,,,,,,,,,,,,,,
DE2021_021,Glück,DE2021_001_21,Mario Mentrup,,M,,,,,,,,,,,,,,,,,,,,
DE2021_022,Smelville,DE2021_001_22,Geraldine Blecker,,F,,,,,,,,,,,,,,,,,,,,
DE2021_023,Julia muss sterben,DE2021_001_23,Mohammad-Ali Behboudi ,3,M,HE,WWE,,,PD,,,,,,,,,,,,,,,
DE2021_024,Ostwind - Der große Orkan,DE2021_001_24,Cornelia Froboess ,4,F,,,,,,,,,,,,,,,,,,,,
DE2021_025,Fabian oder Der Gang vor die Hunde,DE2021_001_25,Michael Wittenborn,,,,,,,,,,,,,,,,,,,,,,
DE2021_026,Kaiserschmarrndrama,DE2021_001_26,Enzi Fuchs,,,,,,,,,,,,,,,,,,,,,,
DE2021_027,Kultourhelden,DE2021_001_27,Gerhard Göbelt,3,M,HE,WWE,MC,SE,AB,,,,,,,,,,,,,,,
DE2021_027,Kultourhelden,DE2021_001_27,Klaus Friedrich,3,M,HE,WWE,MC,SE,AB,,,,,,,,,,,,,,,
DE2021_028,Look Me Over: Liberace,DE2021_001_28,Liberace,2-3,M,HO,WNA,UM,SE,AB,,,,,,,,,,,,,,,
DE2021_029,Kunst kommt aus dem Schnabel wie er gewachsen ist,DE2021_001_29,?,,,,,,,,,,,,,,,,,,,,,,
DE2021_030,Nahschuss,DE2021_001_30,Peter Benedict,,,,,,,,,,,,,,,,,,,,,,
DE2021_031,Neubau,DE2021_001_31,Jalda Rebling,3,F,,,,,,,,,,,,,,,,,,,,
DE2021_032,Wem gehört mein Dorf?,DE2021_001_32,?,,,,,,,,,,,,,,,,,,,,,,
DE2021_033,Die Frau des Piloten,DE2021_001_33,Hans Jürgen Alf,,M,,,,,,,,,,,,,,,,,,,,
DE2021_034,König der Raben,DE2021_001_34,Barbara Philipp,,F,,,,,,,,,,,,,,,,,,,,
