id,type,slug,name,birthYear,deathYear,nationality,gender,character,director
Adriano Pappalardo,Person,adriano-pappalardo,Adriano Pappalardo,1945,0,Italy,Male identifying,,
Adrien Piquet-Gauthier,Person,adrien-piquet-gauthier,Adrien Piquet-Gauthier,1984,0,France,Male identifying,,"[{'filmType': 'Fiction film', 'genre': 'Comedy', 'id': 'FR2020_072', 'production': {'country': 'France', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2020}, 'slug': 'fr2020-072-boutchou', 'tags': 'rural', 'title': {'english': '', 'native': 'Boutchou'}}]"
Adrien Soland,Person,adrien-soland,Adrien Soland,0,0,France,Male identifying,,"[{'filmType': 'Documentary', 'genre': 'Documentary – Participatory mode', 'id': 'FR2022_060', 'production': {'country': 'France', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2022}, 'slug': 'fr2022-060-seule-la-terre-est-eternelle', 'tags': 'cultural memory', 'title': {'english': 'The Earth Is All That Lasts', 'native': 'Seule la Terre est éternelle'}}]"
Adrienne Barbeau,Person,adrienne-barbeau,Adrienne Barbeau,1945,0,United States of America (the),Female identifying,"[{'ability': 'Able-bodied', 'age': '3: Third Age (60-75)', 'assistedMobility': 'Unknown', 'class': 'Middle class', 'film': {'filmType': 'Fiction film', 'genre': 'Thriller', 'id': 'ES2019_044', 'production': {'country': 'United States of America (the)', 'share': 'Minority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2019}, 'slug': 'es2019-044-the-chain', 'tags': 'abuse', 'title': {'english': 'Chain of Death', 'native': 'The Chain'}}, 'gender': 'Female identifying', 'id': 'ES2019_044_01', 'origin': 'White North American', 'profession': 'Unknown', 'role': 'Unknown', 'sexuality': 'Unknown'}]",
Adrián Silvestre,Person,adrian-silvestre,Adrián Silvestre,1981,0,Spain,Male identifying,,"[{'filmType': 'Fiction film', 'genre': 'Comedy', 'id': 'ES2022_071', 'production': {'country': 'Spain', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2022}, 'slug': 'es2022-071-mi-vacio-y-yo', 'tags': 'mental illness', 'title': {'english': 'My Emptiness and I', 'native': 'Mi vacío y yo'}}]"
Aelrun Goette,Person,aelrun-goette,Aelrun Goette,1966,0,Germany,Male identifying,,"[{'filmType': 'Fiction film', 'genre': 'Drama', 'id': 'DE2022_079', 'production': {'country': 'Germany', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2022}, 'slug': 'de2022-079-in-einem-land-das-es-nicht-mehr-gibt', 'tags': 'cultural memory', 'title': {'english': '', 'native': 'In einem Land, das es nicht mehr gibt'}}]"
Affif Ben Badra,Person,affif-ben-badra,Affif Ben Badra,1960,0,France,Male identifying,,
Agathe Taffertshofer,Person,agathe-taffertshofer,Agathe Taffertshofer,1946,0,Germany,Unknown,,
Agnès Fouilleux,Person,agnes-fouilleux,Agnès Fouilleux,1952,0,France,Female identifying,,"[{'filmType': 'Documentary', 'genre': 'Documentary – Participatory mode', 'id': 'FR2018_016', 'production': {'country': 'France', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2018}, 'slug': 'fr2018-016-etre-plutot-qu-avoir-a-l-ecole-autrement', 'tags': 'self-employment', 'title': {'english': '', 'native': ""Etre plutôt qu'avoir : à l'école autrement""}}]"
Agnès Godard,Person,agnes-godard,Agnès Godard,1951,0,France,Female identifying,,
Agnès Jaoui,Person,agnes-jaoui,Agnès Jaoui,1964,0,France,Female identifying,"[{'ability': 'Able-bodied', 'age': '3: Third Age (60-75)', 'assistedMobility': 'No', 'class': 'Middle class', 'film': {'filmType': 'Fiction film', 'genre': 'Drama', 'id': 'FR2022_036', 'production': {'country': 'Belgium', 'share': 'Minority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2022}, 'slug': 'fr2022-036-compagnons', 'tags': 'disappearing professions', 'title': {'english': 'Companions', 'native': 'Compagnons'}}, 'gender': 'Female identifying', 'id': 'FR2022_036_01', 'origin': 'White Western European', 'profession': 'Self-employed', 'role': 'Unknown', 'sexuality': 'Unknown'}]","[{'filmType': 'Fiction film', 'genre': 'Comedy', 'id': 'FR2018_075', 'production': {'country': 'France', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2018}, 'slug': 'fr2018-075-place-publique', 'tags': 'professional politics', 'title': {'english': 'Place publique', 'native': 'Place publique'}}]"
Agnès Soral,Person,agnes-soral,Agnès Soral,1960,0,Switzerland,Female identifying,,
Agnès Varda,Person,agnes-varda,Agnès Varda,1928,2019,Belgium,Female identifying,,
Agustí Villaronga,Person,agusti-villaronga,Agustí Villaronga,1953,2023,Spain,Male identifying,,"[{'filmType': 'Fiction film', 'genre': 'Comedy', 'id': 'ES2023_039', 'production': {'country': 'Spain', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2023}, 'slug': 'es2023-039-loli-tormenta', 'tags': 'caregiving', 'title': {'english': '', 'native': 'Loli Tormenta'}}, {'filmType': 'Fiction film', 'genre': 'Drama', 'id': 'GB2019_034', 'production': {'country': 'United Kingdom of Great Britain and Northern Ireland (the)', 'share': 'Majority coproducer'}, 'release': {'type': 'First festival screening', 'year': 2019}, 'slug': 'gb2019-034-born-a-king', 'tags': 'wealth', 'title': {'english': '', 'native': 'Born a King'}}]"
Ahmed Benaïssa,Person,ahmed-benaissa,Ahmed Benaïssa,1944,2022,France,Male identifying,,
Ahmed Hafiene,Person,ahmed-hafiene,Ahmed Hafiene,1966,0,Tunisia,Male identifying,,
Ahmed Hamidi,Person,ahmed-hamidi,Ahmed Hamidi,0,0,France,Male identifying,,"[{'filmType': 'Fiction film', 'genre': 'Comedy', 'id': 'FR2022_077', 'production': {'country': 'Belgium', 'share': 'Minority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2022}, 'slug': 'fr2022-077-le-medecin-imaginaire', 'tags': 'state institutions', 'title': {'english': 'The Imaginary Doctor', 'native': 'Le Médecin imaginaire'}}]"
Ahuva Sommerfeld,Person,ahuva-sommerfeld,Ahuva Sommerfeld,1937,2019,Iceland,Female identifying,"[{'ability': 'Chronic illness', 'age': '4: Fourth Age (>75)', 'assistedMobility': 'No', 'class': 'Middle class', 'film': {'filmType': 'Fiction film', 'genre': 'Drama', 'id': 'DE2019_073', 'production': {'country': 'Germany', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2019}, 'slug': 'de2019-073-die-einzelteile-der-liebe', 'tags': 'urban', 'title': {'english': 'The Components of Love', 'native': 'Die Einzelteile der Liebe'}}, 'gender': 'Female identifying', 'id': 'DE2019_073_01', 'origin': 'Unknown', 'profession': 'Retired', 'role': 'Unknown', 'sexuality': 'Unknown'}]",
Ai Weiwei,Person,ai-weiwei,Ai Weiwei,1957,0,China,Male identifying,,
Aiman Abdallah,Person,aiman-abdallah,Aiman Abdallah,1965,0,Germany,Male identifying,,
Ainhoa Arteta,Person,ainhoa-arteta,Ainhoa Arteta,1964,0,Spain,Female identifying,,
Ainhoa Rodríguez,Person,ainhoa-rodriguez,Ainhoa Rodríguez,1982,0,Spain,Female identifying,,"[{'filmType': 'Documentary', 'genre': 'Documentary – Poetic mode', 'id': 'ES2021_016', 'production': {'country': 'Spain', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2021}, 'slug': 'es2021-016-destello-bravio', 'tags': 'daily routine', 'title': {'english': 'Mighty Flash', 'native': 'Destello Bravío'}}]"
Aislinn Clarke,Person,aislinn-clarke,Aislinn Clarke,0,0,Ireland,Female identifying,,"[{'filmType': 'Fiction film', 'genre': 'Horror', 'id': 'GB2018_063', 'production': {'country': 'United Kingdom of Great Britain and Northern Ireland (the)', 'share': 'Majority coproducer'}, 'release': {'type': 'First festival screening', 'year': 2018}, 'slug': 'gb2018-063-the-devil-s-doorway', 'tags': 'superior-employee relationship', 'title': {'english': '', 'native': ""The Devil's Doorway""}}]"
